Local_Time,Real_max,lstm_u_max,PER_max,Real_avg,lstm_u_avg,PER_avg,lstm_m_avg,AR_avg,ET_u_avg,ET_m_avg,lstm_m_max,lstm_u_min,PER_min,Real_min,lstm_m_min,ET_u_max,ET_m_max,ET_m_min,ET_u_min,AR_max,AR_min
2016-10-14 23:00:00,4.6,3.3680923461914065,3.9,2.7,1.6248402446508408,1.7,1.8053423166275024,1.6941538000000005,1.645338015637327,1.8012378558156412,3.867347466945649,0.0719015970826149,0.0,1.1,0.0788668356835842,4.087522789870054,3.567783333333333,0.2580685851889312,0.0887957781964405,3.6058215760066057,0.08682443724202824
2016-10-15 00:00:00,5.1,4.104726043343544,4.6,2.7,2.449687778949737,2.7,2.386027961969376,2.473704900000001,2.5045954735888207,2.5275285760354174,4.752902084589005,0.4676145315170288,1.1,0.8,0.4496043026447296,4.507631286598931,4.669863333333333,0.3985223051789752,0.4488442959056506,4.234406098082409,0.47633433885922977
2016-10-15 01:00:00,5.1,4.655531826615333,5.1,2.8,2.3538012206554413,2.7,2.332161158323288,2.5006130000000004,2.499555304476227,2.4720789516449995,4.759526860713959,0.4367398023605346,0.8,0.5,0.5190477669239044,4.828112685939377,4.572973333333336,0.4070423801237928,0.3548226447893082,4.724671808728901,0.48974811987159167
2016-10-15 02:00:00,4.8,4.675902605056763,5.1,2.7,2.4527658820152283,2.8,2.4856486916542053,2.4640880999999992,2.61992230149689,2.6722549740522057,4.907271587848664,0.4546021521091461,0.5,0.8,0.6027022898197174,4.77401268958112,4.752250000000004,0.5382391685226429,0.4032339393012898,4.678958762371991,0.4323868918536008
2016-10-15 03:00:00,5.0,4.436892694234848,4.8,2.2,2.4354854822158813,2.7,2.449072480201721,2.3832510999999994,2.4530220241938028,2.7283748310455973,4.778767454624176,0.5063041895627975,0.8,0.6,0.5817746669054031,4.657233632067832,4.573156666666666,0.5295964491885654,0.5462057664652528,4.354625141322411,0.5021194970986996
2016-10-15 04:00:00,2.7,4.63736155629158,5.0,0.4,2.081143409013748,2.2,2.1780324429273605,1.9495782,2.1882634363750664,2.2403731964706326,4.5364646971225735,0.5064754039049149,0.6,0.0,0.4974082410335541,4.836226802133981,4.239013333333331,0.4782171811448702,0.4690013544733499,4.525309507284329,0.43607327622355874
2016-10-15 05:00:00,1.2,2.9265466392040254,2.7,0.2,1.0179170295596125,0.4,0.869275376200676,0.8020144999999999,0.9817401494491326,0.8475451837356445,2.7421543985605243,0.3030111193656921,0.0,0.0,0.0765733234584331,2.756409509190449,2.603346666666666,0.1739629889251699,0.1858255970402476,3.001798584930296,0.2578584826521675
2016-10-15 06:00:00,4.1,2.1908979266881943,1.2,1.3,0.7115089148283005,0.2,0.7479174211621284,0.8142748,0.7497058479186692,0.7121911333404336,2.3233481824398043,0.1773340478539466,0.0,0.0,-0.0058183148503303,2.298299960778833,2.077636666666665,0.0710470575944403,0.1269085464723377,2.122582767873707,0.1947737581572442
2016-10-15 07:00:00,5.4,4.943914896249771,4.1,2.5,1.6588837802410126,1.3,1.9481099992990487,2.0501037,1.955287304395531,1.6135180601857857,4.103997817635537,0.1172277107834816,0.0,0.6,0.0981711633503437,4.406252539690799,4.000253333333334,0.2233472141699563,0.115924074059821,4.780803494396529,0.16832382578587796
2016-10-15 08:00:00,6.5,6.365747392177582,5.4,3.5,2.7686794102191925,2.5,3.310128092765808,3.0662796999999995,3.180498787575439,2.895863939860407,6.655623769760132,0.334448978304863,0.6,1.0,0.3659297525882721,6.747861882094999,6.494080000000003,0.4479091441830004,0.3496916555898061,6.287152343011467,0.40102171611820503
2016-10-15 09:00:00,7.1,7.790818810462952,6.5,4.1,3.85762220621109,3.5,3.957487285137177,3.9003185,4.258243471127024,3.9976637036705296,7.896091949939728,0.44761423766613,1.0,0.9,0.4129674285650253,7.847280521482372,7.996716666666667,0.3557262271024764,0.4239146024331154,7.638705471612009,0.520598154604171
2016-10-15 10:00:00,9.7,8.36251705288887,7.1,4.5,4.3652313351631165,4.1,4.457512736320496,4.301041700000002,4.431211574534776,4.585905767045756,9.22128463983536,0.495908573269844,0.9,0.0,0.2643953561782837,8.161478440188638,8.581370000000001,0.2695779166653725,0.4760089982709941,8.144911803515594,0.5755907780267691
2016-10-15 11:00:00,10.7,10.223555731773375,9.7,5.1,4.649734854698181,4.5,4.555938541889191,4.543039199999999,4.482061198117614,4.241085030119119,10.407745385169983,0.2845783531665802,0.0,0.0,0.049280896782875,9.92015442975096,9.891889999999997,0.0678057278926649,0.2043525206992698,10.05135495696718,0.2593393060176648
2016-10-15 12:00:00,10.1,10.811594033241272,10.7,4.3,4.969840943813324,5.1,4.740573227405548,4.6894656,4.71316609530188,4.821615647866831,10.993090438842774,0.1698253378272056,0.0,0.0,0.0604861825704574,10.741000961916576,10.888643333333333,0.0647359984273416,0.1125066865070038,10.6447190812309,0.14519900932696797
2016-10-15 13:00:00,8.4,10.15049569606781,10.1,3.0,4.131525635719299,4.3,3.973247677087784,4.051317599999999,4.138657626140633,4.251098530073403,10.268272352218627,0.1138703227043151,0.0,0.0,0.0304396077990531,10.027561787395127,10.151676666666669,0.0679014873768644,0.1371989960457275,9.974954700875648,0.14509906588677252
2016-10-15 14:00:00,7.5,8.860244482755661,8.4,2.5,2.85004985332489,3.0,2.7897178530693054,3.0266669,2.8190564584008992,2.677375842060525,8.664464563131332,0.0943616665899753,0.0,0.0,0.0128324031829833,8.751010006589578,8.517356666666673,0.0428601469366507,0.1114234228148585,8.391586335291207,0.1376840361132319
2016-10-15 15:00:00,8.4,7.833585250377656,7.5,2.6,2.447718769311905,2.5,2.564472913742065,2.7250007,2.727386927094746,2.085144745623825,8.341189241409301,0.0816820655018091,0.0,0.0,0.0195240676403045,7.690894277123471,8.20526333333334,0.0372931749699381,0.090686729865836,7.55154561697764,0.12156446374310548
2016-10-15 16:00:00,6.9,7.824077254533768,8.4,2.3,2.4374848008155823,2.6,2.791213721036911,2.7656342,2.548697980211178,2.201559912527787,8.366231399774552,0.0779374223202467,0.0,0.0,0.0042315647006034,7.568573986360358,8.169316666666667,0.0742927034638066,0.1101833122708016,7.72890638141663,0.12228518603053083
2016-10-15 17:00:00,7.0,6.533656847476959,6.9,0.6,2.1888721883296967,2.3,2.299590289592743,2.4927221,2.3646906518579587,2.045215646527136,7.060646879673005,0.0791954901069402,0.0,0.0,0.0213920250535011,6.462317404450469,7.160436666666668,0.0811049257081984,0.0655794261715522,6.410391264861339,0.11878902010218961
2016-10-15 18:00:00,9.5,5.808646810054779,7.0,4.9,1.1732835173606873,0.6,2.170402094721794,0.9702381000000002,1.5757414742063498,2.624400288883072,6.283606797456741,0.079847440123558,0.0,0.9,0.0046324655413627,5.749694885544778,6.369850000000004,0.0752805041182506,0.0542824677675353,6.139597181556245,0.10405618005405609
2016-10-15 19:00:00,7.3,7.024014949798584,9.5,2.9,4.040495753288269,4.9,3.278025537729264,4.0886041,3.948206897588524,3.487860425823234,7.61018123626709,0.4420520067214966,0.9,0.0,0.1401838213205337,7.121381308367436,7.035120000000006,0.4680202127039626,0.4314586539879856,7.7304790853694385,0.35639561869432473
2016-10-15 20:00:00,3.2,5.935357588529587,7.3,1.0,2.3497830033302307,2.9,1.915236175060272,2.311006699999999,2.358669451598196,1.99081107215014,5.0604364514350895,0.2332879453897476,0.0,0.0,0.0807466953992843,5.838766140940393,4.793303333333335,0.1680664305115658,0.2495279214729487,6.194421523010186,0.19969759527408207
2016-10-15 21:00:00,1.3,2.7822686523199085,3.2,0.1,1.068256862461567,1.0,0.741301953792572,1.0035537,1.1449586445860396,0.7321572778285577,2.465707403421402,0.161673154681921,0.0,0.0,0.00852732360363,3.190431962332699,2.5693566666666667,0.0703616669535206,0.1041445165720551,3.3022812083357547,0.1704095141204129
2016-10-15 22:00:00,2.8,1.448377820849419,1.3,1.2,0.4753047376871109,0.1,0.3651604950428009,0.5407694000000001,0.7959877020991951,0.6395104025606012,1.543633157014847,0.12584313377738,0.0,0.0,-0.0316033959388732,2.0816146145111425,2.11331,0.0371564028715226,0.0990048342333702,1.882597854370696,0.17647218498893827
2016-10-15 23:00:00,2.9,2.616863214969636,2.8,1.1,1.1803846657276154,1.2,1.3850353360176086,1.5442981999999998,1.5242461082790093,1.0279061263002054,2.995221489667893,0.107835978269577,0.0,0.0,0.0214783698320388,3.0611392146969854,3.1033666666666666,0.1386584250604809,0.1240024881950345,3.203695277206829,0.20887302906981636
2016-10-16 00:00:00,2.4,2.6387963145971303,2.9,0.6,1.0081657245755196,1.1,1.0859328210353851,1.4808146,1.3209359364246938,1.2090024837377928,2.9693204998970035,0.1018155366182327,0.0,0.0,0.0221537053585052,3.037652711792121,3.019956666666668,0.1657325310932684,0.1345573855377969,3.311371705710568,0.20714139459973807
2016-10-16 01:00:00,2.3,2.3409468054771425,2.4,0.9,0.7218535244464874,0.6,0.8575847670435905,1.1003387999999998,0.8710215915185724,0.9074684643802604,2.710014142096043,0.1078391522169113,0.0,0.0,0.0017783492803573,2.634357120311924,2.626623333333334,0.0578730693240795,0.1390873311711849,2.966843239903167,0.17794760437164592
2016-10-16 02:00:00,2.0,2.3153834611177446,2.3,0.7,1.0075238719582558,0.9,1.0724317207932472,1.1091942,1.2503158677285389,1.0375839507872082,2.651195198297501,0.1228032186627388,0.0,0.0,0.0103968232870101,2.43830472257368,2.414686666666668,0.0629993167242382,0.1091861042313291,2.5524122608588717,0.12371351633193196
2016-10-16 03:00:00,3.5,2.1115344345569613,2.0,1.5,0.8855297639966011,0.7,0.8491664528846741,0.8047415,0.8941781328425912,0.7802380339339849,2.3139975070953374,0.1460324674844741,0.0,0.0,0.0024151057004928,2.050374739738308,2.313946666666668,0.0470933115488288,0.1053655304865135,2.22362506483346,0.1390415885063353
2016-10-16 04:00:00,4.4,3.4621878147125247,3.5,2.4,1.6620992124080658,1.5,1.5947097837924955,1.3714822999999996,1.6810177037512837,1.7194515540015485,3.3555663198232653,0.1259633526206016,0.0,0.7,0.1020050793886184,3.344712466427517,3.113419999999999,0.1961918789567061,0.0932096983247758,3.3224872931274763,0.06597394020749595
2016-10-16 05:00:00,3.0,4.1812874495983126,4.4,1.5,2.464086949825287,2.4,2.19205704331398,2.273969,2.265676455722795,2.1532269982507843,4.325126868486405,0.394754871726036,0.7,0.0,0.3771883249282837,4.305128356799223,3.7958733333333305,0.4543807706125589,0.3564074022219823,4.331501493417286,0.32213648302682124
2016-10-16 06:00:00,3.7,3.2832075476646425,3.0,2.1,1.6124567538499832,1.5,1.3197094649076462,1.8194697,1.6753211510464734,1.5439392527052749,3.0973442614078524,0.2011636644601822,0.0,0.5,0.1461937688291072,3.3816600908988628,3.0626833333333354,0.2108126481407322,0.2217721542662462,3.863613559772781,0.1747729473097833
2016-10-16 07:00:00,4.4,4.339813083410263,3.7,2.2,2.314717948436737,2.1,2.080656051635742,2.6098493000000005,2.368213692393105,2.023509308857188,4.177454122900963,0.3674861490726471,0.5,0.0,0.3221718370914459,4.384788800852512,4.201693333333336,0.4289203626806702,0.3293784121349667,4.75726831148418,0.3184153040270018
2016-10-16 08:00:00,6.4,5.42150827050209,4.4,2.7,2.537827044725418,2.2,2.633701264858246,2.8080231,2.6265299693559645,2.747419946727889,5.755285477638245,0.1799890212714672,0.0,0.0,0.2851786315441131,5.740409201366462,5.490053333333337,0.3956828506329361,0.2171587168360745,5.737470239415626,0.217287143634725
