second,Street,Mean velocity,Vehicles
0.625,10 de Agosto North-south / Puente del Guambra,0.7240493169169406,5.045454545454545
0.625,10 de Agosto South-north / El Ejido park,1.4206259955778726,10.09090909090909
0.6666666666666666,Patria Av. West-east,1.8707854102716133,28.59090909090909
0.6666666666666666,Patria Av. East-west,4.656706265161893,18.5
0.6666666666666666,Underpass Patria- 10 de Agosto,0.280644376579657,11.772727272727273
0.6666666666666666,10 de Agosto North-south / Puente del Guambra,1.166160759442514,5.045454545454545
0.6666666666666666,10 de Agosto South-north / El Ejido park,1.5445820895706894,10.09090909090909
0.7083333333333334,Patria Av. West-east,1.3648026559855124,28.59090909090909
0.7083333333333334,Patria Av. East-west,4.744567151321274,18.5
0.7083333333333334,Underpass Patria- 10 de Agosto,0.21709684500421514,11.772727272727273
