FECHA,variable,value,Year,Month,Day,DayOfWeek,Hour
2011-01-09,QH0889,93.61,2011,1,9,6,0
2011-01-10,QH0889,48.07,2011,1,10,0,0
2011-01-11,QH0889,34.69,2011,1,11,1,0
2011-01-12,QH0889,66.29,2011,1,12,2,0
2012-01-01,QH0889,92.72,2012,1,1,6,0
2012-01-02,QH0889,88.49,2012,1,2,0,0
2012-01-03,QH0889,111.15,2012,1,3,1,0
2012-01-04,QH0889,123.47,2012,1,4,2,0
2012-01-05,QH0889,103.81,2012,1,5,3,0
2012-01-06,QH0889,130.24,2012,1,6,4,0
2012-01-07,QH0889,130.98,2012,1,7,5,0
2012-01-08,QH0889,66.07,2012,1,8,6,0
2012-01-09,QH0889,41.89,2012,1,9,0,0
2012-01-10,QH0889,50.54,2012,1,10,1,0
2012-01-11,QH0889,68.43,2012,1,11,2,0
2012-01-12,QH0889,91.62,2012,1,12,3,0
2013-01-01,QH0889,141.09,2013,1,1,1,0
2013-01-02,QH0889,98.93,2013,1,2,2,0
2013-01-03,QH0889,84.83,2013,1,3,3,0
2013-01-04,QH0889,64.21,2013,1,4,4,0
2013-01-05,QH0889,94.68,2013,1,5,5,0
2013-01-06,QH0889,175.6,2013,1,6,6,0
2013-01-07,QH0889,145.08,2013,1,7,0,0
2013-01-08,QH0889,87.06,2013,1,8,1,0
2013-01-09,QH0889,51.58,2013,1,9,2,0
2013-01-10,QH0889,69.95,2013,1,10,3,0
2013-01-11,QH0889,28.75,2013,1,11,4,0
2013-01-12,QH0889,50.12,2013,1,12,5,0
2014-01-01,QH0889,65.0,2014,1,1,2,0
2014-01-02,QH0889,60.55,2014,1,2,3,0
2014-01-03,QH0889,125.42,2014,1,3,4,0
2014-01-04,QH0889,95.93,2014,1,4,5,0
2014-01-05,QH0889,115.63,2014,1,5,6,0
2014-01-06,QH0889,190.3,2014,1,6,0,0
2014-01-07,QH0889,180.28,2014,1,7,1,0
2014-01-08,QH0889,96.26,2014,1,8,2,0
2014-01-09,QH0889,47.67,2014,1,9,3,0
2014-01-10,QH0889,54.89,2014,1,10,4,0
