"PRECIPITATION.mm.","X","Y","PL3"
12.6,-0.949864107174544,1.17382203842895,"M"
10.7,-0.650110754351063,0.862412898255292,"M"
19.3,-1.12669600259862,0.493412725543533,"M"
7.6,-0.821817644325527,1.70037846591143,"M"
8.6,-0.821817644325527,1.70037846591143,"M"
7.5,-0.821817644325527,1.70037846591143,"M"
2,-0.821817644325527,1.70037846591143,"M"
9.9,-0.0227144194171456,1.36981168601766,"M"
15.8,-1.6245247071638,0.565083600730341,"M"
0.1,-0.52420002591407,1.61716243242035,"M"
0.1,-0.549747945743218,1.62977826594636,"M"
0,-0.33895818736882,1.37895153911065,"M"
1.7,-0.949126074245944,1.18724879245526,"M"
0.1,1.36250072440863,1.09822209774979,"M"
4.2,1.26140413460236,-0.147511386706461,"M"
0.1,0.930841983265214,1.51721231282602,"M"
0,-0.282773130006859,1.65603120651337,"M"
0,-0.571793511176558,1.80143059277242,"M"
23.2,-1.08430723122287,0.96269300834575,"M"
20.5,-0.0762367233985795,1.36787717358155,"M"
19.2,-0.550935622658484,1.09971357165669,"M"
2.3,-0.453733381844639,1.63833025309302,"M"
0.6,-0.819439620347845,1.44364770931283,"M"
12.8,-1.14731093915249,1.1437122054525,"M"
2.4,-0.964380324246396,1.17489173552563,"M"
9.9,0.171187269768089,1.57069886314002,"M"
1.3,-1.42751491107144,0.923147430624549,"M"
40,-0.458603219568699,1.23777343928573,"M"
5.4,-0.791255216280436,1.29781169000322,"M"
1,0.707885100587853,1.51254708500784,"M"
0,0.348330661592033,1.40753889828838,"M"
0,-2.60879823397642,-0.519395585658468,"M"
0,-2.3147242838188,0.405649466780795,"M"
9.1,-0.972723926931802,1.38199426987755,"M"
0.3,-1.09619205802544,1.27309189453156,"M"
2.8,-1.26278206718377,0.966168438109571,"M"
10.2,-1.09466821660065,0.560893479694997,"M"
6.8,-0.976275455393123,1.25498455576033,"M"
10.8,-0.199438656190413,1.38572155298854,"M"
0,0.856793012687042,0.854403729749971,"H"
14.9,-0.860794795112981,1.14189855972691,"M"
10.3,-0.890933338557453,0.7112227402487,"M"
9.6,-0.679007641054813,0.787749086568292,"M"
3.2,-0.862801709355497,1.20248626201435,"M"
0,1.6329478180288,0.435409489555495,"M"
0,-1.05339920176481,1.24388509184782,"M"
0,-0.662049081321406,-2.33807421052487,"L"
0.2,0.648652801332811,2.02882959938066,"M"
0,-1.00448037153663,1.34663253458307,"M"
0.2,-1.71542249056043,0.744463349587768,"M"
5.4,-1.36585571543906,0.307307931239093,"M"
0,-1.36982171125443,1.30218603869646,"M"
11.2,-1.07938685652367,1.19458110397074,"M"
