Fecha_Hora,Centro_Alto_Rendimiento,Kennedy,Las_Ferias,MinAmbiente,Puente_Aranda,San_Cristobal,Suba,Tunal,Usaquen
14/09/2014 11:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 12:00,Sin Data,0,0,0,0.2,0,0,0,Sin Data
14/09/2014 13:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 14:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 15:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 16:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 17:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 18:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 19:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 20:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 21:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 22:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 23:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 00:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 01:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 02:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 03:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 04:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 05:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 06:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 07:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 08:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 09:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 10:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 11:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 12:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 13:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 14:00,Sin Data,0,0,0,0,0.2,0,0,Sin Data
15/09/2014 15:00,Sin Data,0,0,0,0,0.1,0,0,Sin Data
15/09/2014 16:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 17:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 18:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 19:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 20:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 21:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 22:00,Sin Data,0,0,0,0,0,0,0,Sin Data
15/09/2014 23:00,Sin Data,0,0,0,0,0,0,0,Sin Data
16/09/2014 00:00,Sin Data,0,0,0,0,0,0,0,Sin Data
16/09/2014 01:00,Sin Data,0,0,0,0,0,0,0,Sin Data
16/09/2014 02:00,Sin Data,0,0,0,0,0,0,0,Sin Data
16/09/2014 03:00,Sin Data,0,0,0,0,0,0,0,Sin Data
16/09/2014 04:00,Sin Data,0,0,0,0,0,0,0,Sin Data
