"PRECIPITATION.mm.","WINDDIR.deg.","WINDDPEED.m.s.","PARTICULAS.microg.m3.","PL2","PL3","X","Y"
0,23.84,2.15,17.45,"UH","M",1.96655709184779,0.868995514662291
0,56.92,2.83,14.56,"H","M",1.54464090977303,2.37128329388446
2.4,72.55,2.61,26.17,"UH","H",0.782669600265744,2.48988519751812
0.1,89.99,2.53,18.03,"UH","M",0.000441568298513431,2.5299999614659
2.4,90.53,2.6,20.77,"UH","M",-0.0240502941036722,2.59988876365
0,135.19,2.78,19.18,"UH","M",-1.97226472793053,1.95922735867002
0.3,64.94,2.7,18.51,"UH","M",1.14363120546741,2.44583475849885
4.3,67.79,2.68,17.04,"UH","M",1.01304636758439,2.48115639513596
13.7,94.42,2.53,18.4210277957337,"UH","M",-0.194979663096901,2.52247555607158
5,71.44,1.85,20.58,"UH","M",0.58885049423496,1.75378308106768
5.4,94.69,1.52,19.26,"UH","M",-0.124282133243556,1.51491054236098
0,59.07,2,21.42,"UH","M",1.02798092675308,1.71559179708691
2,74.37,1.93,21.17,"UH","M",0.519988502327009,1.85863174336599
7.1,84.83,2.08,23.63,"UH","M",0.187431137807962,2.07153797179294
0.2,81.44,2.4,20.24,"UH","M",0.357228059723885,2.3732652850758
2.1,101,2.79,18.59,"UH","M",-0.53235709710056,2.73873984181898
0,66.58,2.23,20.15,"UH","M",0.886354137806276,2.04628354398741
0.5,64.36,2.7,19.45,"UH","M",1.16833115159008,2.43413276552948
2.2,72.75,2.71,21.68,"UH","M",0.803627668183798,2.58810404947898
2.7,66,1.83,24.03,"UH","M",0.744328056828714,1.67178818748596
0,115.795153846154,1.88856325492689,18.4210277957337,"UH","M",-0.821817644325527,1.70037846591143
40.3,96.19,1.3,13.73,"H","M",-0.140173594581992,1.29242073775608
27.1,102.12,1.32,11.95,"H","M",-0.27714701633948,1.29057720859084
5.7,96.53,1.42,11.77,"H","M",-0.161487272351691,1.41078767391426
16.5,83.62,1.24,12.55,"H","M",0.137791323373332,1.23232039308088
16.8,119.75,1.34,13.37,"H","M",-0.664930114924779,1.16338641141545
0,41.05,1.42,12.51,"H","M",1.07087421825098,0.932538690181458
0,57.14,1.41,19.19,"UH","M",0.765049294864148,1.18439840274625
0,44.83,1.96,22.55,"UH","M",1.39003531960766,1.38181106170244
0,79.91,1.79,19.23,"UH","M",0.313598862411584,1.76231545232236
0.1,47,1.62,21.45,"UH","M",1.10483734330125,1.18479299662306
0,92.94,1.7,17.2,"UH","M",-0.0871932810683679,1.69776244855885
0,74.4,1.63,18.52,"UH","M",0.438339307602883,1.56995498388018
1.7,53.07,1.45,17.76,"UH","M",0.871216342520218,1.159086745902
0,65.56,1.58,17.86,"UH","M",0.653709367851085,1.43842415941326
0,85.09,1.9,17.68,"UH","M",0.16262255209967,1.89302770860561
16.1,132.11,1.26,18.62,"UH","M",-0.844900696030751,0.93474211087698
36.5,148.34,1.37,14.36,"H","M",-1.1661135181497,0.719082236457362
26.5,146.82,1.19,14.17,"H","M",-0.995976923737499,0.651252614107911
26.5,95.31,1.2,12.59,"H","M",-0.111053247339675,1.1948502735721
18.6,131.2,1.19,15.12,"UH","M",-0.783840457541229,0.895373741585912
6.3,122.99,1.33,18.02,"UH","M",-0.724175225953612,1.11555826477824
9.7,123.73,1.18,16.43,"UH","M",-0.655230354606489,0.981362920841344
11.4,108.12,1.37,18.4210277957337,"UH","M",-0.426081238491794,1.30205790124913
25.1,129.31,1.54,27.84,"UH","H",-0.975614522306058,1.19154366427149
0,121.54,1.41,33.86,"UH","H",-0.737562106377029,1.20170800914227
3.2,120.43,1.56,18.4210277957337,"UH","M",-0.790117077103612,1.34510780403254
0.7,123.26,1.73,30.41,"UH","H",-0.948799782502482,1.44660947484912
12.6,128.98,1.51,18.4210277957337,"UH","M",-0.949864107174544,1.17382203842895
10.7,127.01,1.08,11.83,"H","M",-0.650110754351063,0.862412898255292
19.3,156.35,1.23,15.76,"UH","M",-1.12669600259862,0.493412725543533
7.6,115.795153846154,1.88856325492689,14.74,"H","M",-0.821817644325527,1.70037846591143
8.6,115.795153846154,1.88856325492689,13.77,"H","M",-0.821817644325527,1.70037846591143
7.5,115.795153846154,1.88856325492689,20.32,"UH","M",-0.821817644325527,1.70037846591143
2,115.795153846154,1.88856325492689,17.66,"UH","M",-0.821817644325527,1.70037846591143
9.9,90.95,1.37,15.09,"UH","M",-0.0227144194171456,1.36981168601766
15.8,160.82,1.72,18.4210277957337,"UH","M",-1.6245247071638,0.565083600730341
0.1,107.96,1.7,18.4210277957337,"UH","M",-0.52420002591407,1.61716243242035
0.1,108.64,1.72,20.8,"UH","M",-0.549747945743218,1.62977826594636
