Date,Time,PM2.5,lat,lon
2013-05-09,8:23:33,158,4.672757797,-74.04854776
2013-05-09,8:23:38,330,4.672578089,-74.04863494
2013-05-09,8:23:43,150,4.672299726,-74.04854827
2013-05-09,8:23:48,16,4.672178272,-74.04880458
2013-05-09,8:23:53,0,4.672073247,-74.04889025
2013-05-09,8:23:58,0,4.671966797,-74.04903383
2013-05-09,8:24:03,67,4.671788933,-74.04914598
2013-05-09,8:24:08,99,4.671699917,-74.04923642
2013-05-09,8:24:13,39,4.671629425,-74.04931907
2013-05-09,8:24:14,36,4.671607632,-74.04931965
2013-05-09,8:24:15,51,4.671584582,-74.04930322
2013-05-09,8:24:16,46,4.671555664,-74.04926433
2013-05-09,8:24:17,63,4.671529094,-74.04925796
2013-05-09,8:24:18,116,4.671503445,-74.0492645
2013-05-09,8:24:19,132,4.67147612,-74.04927162
2013-05-09,8:24:20,120,4.671443347,-74.04927858
2013-05-09,8:24:21,80,4.671409568,-74.04929359
2013-05-09,8:24:22,36,4.671379477,-74.0493127
2013-05-09,8:24:23,28,4.671351649,-74.0493272
2013-05-09,8:24:24,31,4.671319798,-74.04934865
2013-05-09,8:24:25,43,4.671290042,-74.04936374
2013-05-09,8:24:30,14,4.671144029,-74.04941487
2013-05-09,8:24:35,14,4.670766257,-74.04952132
2013-05-09,8:24:36,10,4.67082493,-74.04953532
2013-05-09,8:24:37,10,4.67086642,-74.04955636
2013-05-09,8:24:38,10,4.670845047,-74.04956826
2013-05-09,8:24:39,13,4.670816632,-74.04960657
2013-05-09,8:24:40,19,4.670807328,-74.0496095
2013-05-09,8:24:41,14,4.67080473,-74.04962752
2013-05-09,8:24:42,12,4.670790061,-74.04964646
2013-05-09,8:24:43,19,4.670774136,-74.0496556
2013-05-09,8:24:44,18,4.67075754,-74.0496639
2013-05-09,8:24:45,5,4.670731556,-74.04966976
2013-05-09,8:24:46,9,4.670705739,-74.04968133
2013-05-09,8:24:47,81,4.670675229,-74.04969399
2013-05-09,8:24:48,166,4.670649832,-74.0497095
2013-05-09,8:24:49,88,4.670634326,-74.04971553
2013-05-09,8:24:50,66,4.670619993,-74.04972324
2013-05-09,8:24:51,47,4.670601217,-74.04973665
2013-05-09,8:24:52,36,4.670589734,-74.04972735
2013-05-09,8:24:53,23,4.67057406,-74.04973045
2013-05-09,8:24:54,20,4.670555284,-74.04974579
2013-05-09,8:24:55,33,4.670540532,-74.04975082
2013-05-09,8:24:56,42,4.670527959,-74.04975853
2013-05-09,8:24:57,19,4.670507843,-74.04978518
2013-05-09,8:24:58,13,4.670491079,-74.04980069
2013-05-09,8:24:59,18,4.670478087,-74.04980999
2013-05-09,8:25:00,11,4.670450427,-74.04982575
2013-05-09,8:25:01,0,4.67042109,-74.04984553
2013-05-09,8:25:02,5,4.670388568,-74.04985576
2013-05-09,8:25:03,0,4.670358142,-74.04986657
2013-05-09,8:25:04,5,4.67032914,-74.04988258
2013-05-09,8:25:05,10,4.670297457,-74.04990127
2013-05-09,8:25:06,10,4.670261499,-74.04992927
2013-05-09,8:25:07,5,4.670222439,-74.04996715
2013-05-09,8:25:08,0,4.670189498,-74.0499887
2013-05-09,8:25:09,0,4.670153372,-74.05000412
2013-05-09,8:25:14,11,4.669994619,-74.05007847
2013-05-09,8:25:19,51,4.669866376,-74.05012448
2013-05-09,8:25:24,67,4.669729918,-74.05018894
2013-05-09,8:25:25,50,4.669675017,-74.05020528
2013-05-09,8:25:26,69,4.669636628,-74.05021518
2013-05-09,8:25:27,69,4.669602932,-74.05024325
2013-05-09,8:25:28,64,4.669575188,-74.05027268
2013-05-09,8:25:29,92,4.669544678,-74.05029145
2013-05-09,8:25:30,104,4.669514839,-74.05029933
2013-05-09,8:25:31,77,4.66948458,-74.05031266
2013-05-09,8:25:32,25,4.669453567,-74.05033772
2013-05-09,8:25:33,0,4.669420039,-74.05037569
2013-05-09,8:25:34,0,4.669390451,-74.05041332
2013-05-09,8:25:35,0,4.669350889,-74.05045632
2013-05-09,8:25:36,0,4.669313924,-74.05049865
