base,P Atteinte:HPE,PS:HPE,PS:HCE,P Atteinte:HCE
21:00 09/10/2024,6.02,36,,
21:30 09/10/2024,5.56,36,,
22:00 09/10/2024,3.72,36,,
22:30 09/10/2024,1.66,36,,
23:00 09/10/2024,1.68,36,,
23:30 09/10/2024,1.62,36,,
00:00 10/10/2024,1.68,36,,
00:30 10/10/2024,,,36,1.64
01:00 10/10/2024,,,,
01:30 10/10/2024,,,,
02:00 10/10/2024,,,,
02:30 10/10/2024,,,,
03:00 10/10/2024,,,,
03:30 10/10/2024,,,,
04:00 10/10/2024,,,,
04:30 10/10/2024,,,,
05:00 10/10/2024,,,,
05:30 10/10/2024,,,,
06:00 10/10/2024,,,,
06:30 10/10/2024,,,,
07:00 10/10/2024,,,,
07:30 10/10/2024,,,,
08:00 10/10/2024,,,,
08:30 10/10/2024,,,,
09:00 10/10/2024,,,,
09:30 10/10/2024,,,,
10:00 10/10/2024,,,,
10:30 10/10/2024,,,,
11:00 10/10/2024,,,,
11:30 10/10/2024,,,,
12:00 10/10/2024,,,,
12:30 10/10/2024,,,,
13:00 10/10/2024,,,,
13:30 10/10/2024,,,,
14:00 10/10/2024,,,,
14:30 10/10/2024,,,,
15:00 10/10/2024,,,,
15:30 10/10/2024,,,,
16:00 10/10/2024,,,,
16:30 10/10/2024,,,,
17:00 10/10/2024,,,,
17:30 10/10/2024,,,,
18:00 10/10/2024,,,,
18:30 10/10/2024,,,,
19:00 10/10/2024,,,,
19:30 10/10/2024,,,,
20:00 10/10/2024,,,,
20:30 10/10/2024,,,,
21:00 10/10/2024,,,,
21:30 10/10/2024,,,,
22:00 10/10/2024,,,,
22:30 10/10/2024,,,,
23:00 10/10/2024,,,,
23:30 10/10/2024,,,,
