elNino index,date,9_Azuay,5_Bolivar,8_Canar,1_Carchi,7_Chimborazo,4_Cotopaxi,2_Imbabura,10_Loja,3_Pichincha,6_Tunguragua,7_El oro(c),1_Esmeraldas,5_Guayas,4_Los RIos,3_Manabi,6_SantaElena,2_SantoDomingo,4_Morona_santiago,2_Napo(W),2_orellana€,3_Pastaza,1_Sucumbios,5_Zamora,Galapagos
0,2/1/1961,78.6661417903549,193.90109300874,110.684516020744,142.89336983275,65.3996711279217,168.277464168173,128.963274255263,83.8894434634188,173.654279803371,53.4456790170552,88.2905109711807,266.373842161422,196.285753237182,380.377616749253,218.222672331895,78.6453488372093,419.030636032193,153.85217779541,145.402577239623,194.757255365912,230.002898514789,171.506115225008,96.8234817180556,43.2793645344083
0,3/1/1961,74.2937008314557,189.983060492844,123.20774152202,89.1430937624768,78.4345393557298,153.800000633992,101.452212578427,67.4875240435757,152.268468762303,57.1487654462273,77.6912408257923,208.040054383655,203.80176407026,359.00755797985,237.118181819853,103.35872091249,374.944506959419,111.616533447266,107.610137519967,136.767226178695,174.69956514939,107.463669198308,59.8506073507703,51.0923809475369
0.1,4/1/1961,63.4496062871978,164.344262545226,96.5535485790622,119.07348070092,73.8769738046746,145.020070331197,110.135840998287,101.247792505715,154.172522141053,62.6339504336134,67.0437956482825,205.280108989747,148.90366358867,293.400871720425,182.020700933116,82.3744184582733,338.965896871049,155.277333292643,158.144329870689,247.408785866138,263.481014163252,220.642086376675,112.914372602455,41.3079364776611
0.2,5/1/1961,115.678739973253,251.634972327394,163.161935621692,218.319889005376,131.125000025097,242.463380867327,205.510619577053,99.2299424645539,273.318919138866,123.135185147509,89.8554746599963,341.674795727639,190.505019877627,412.950000762939,229.445454249638,78.4860463918641,550.187281437692,253.589421881782,324.464089436219,410.732082807535,409.457101473601,411.59364527421,121.207489847654,26.2355555640327
0.3,6/1/1961,29.6755905001182,43.2065573416121,37.5258065254458,52.3458563767744,35.8743420525601,44.2528169356601,35.5473451361192,24.7533588697723,46.1824325054616,39.3623457013825,18.444890493024,76.5245231165873,26.3940298639774,56.6447674839996,33.6131434875407,7.9831395481908,86.5202311918226,113.647911027696,101.093127378483,194.331490730368,206.878478332188,134.024460508955,65.7196356120864,3.38190476090189
0.1,7/1/1961,32.7178477358631,31.790710313724,42.1496773873606,101.284530502656,50.2184211266668,48.2697183380664,44.3353981845147,17.6197696387653,55.0340089840932,90.0703703444681,9.99671534117121,116.106130865029,15.8084124664762,38.0880812600602,32.2879518224793,5.90116280386614,87.8589596390035,217.183911193848,237.10395230952,369.148569029858,391.911377041582,361.301199046256,94.3002023349407,9.59714285948921
-0.1,8/1/1961,28.7566929024661,8.72896173742951,29.5348387733583,45.9099445843565,34.5375000567813,19.072183099431,18.3517699115044,10.5431861521644,23.0959459629145,61.6166666966897,6.08248175517486,53.0925068491487,8.14531884822625,10.4023255837518,11.0510405462647,7.11976744269216,26.9531792602098,161.713511250814,146.148281759413,219.82161892649,257.864565183114,204.732613831115,58.9279351678455,3.40317459560576
-0.3,9/1/1961,11.9950131282719,4.05901639969622,11.6690322614485,14.7723757219578,13.2141447624094,8.03767608001199,6.10973451939304,7.80748561533765,7.96936937924978,23.3876543457125,3.86496350354087,14.7423705648661,2.35983718072381,3.31511626825776,3.17513690557563,4.13255814306958,9.06242777846452,69.1902222298517,53.3529209025537,119.338499485328,142.39601435454,77.2235011551306,42.9289473560658,6.05809523529477
-0.3,10/1/1961,33.0223097112861,20.6857923132474,32.5974193019252,50.3049723904436,35.7957237017782,32.6929578243847,29.00619463794,16.6470249439384,36.703153167759,49.2382715484243,11.2642335909126,47.3416894021411,5.3886024503889,12.5700581441092,8.37185105214636,4.37848838921203,36.112138709581,135.717688839383,123.61975963173,190.761006648072,221.969710059788,157.970623354832,65.5854249869281,4.74095236800966
-0.2,11/1/1961,120.608398527611,80.8480872274096,120.265161649642,261.017126599728,131.047039471175,147.191197086388,189.563717023461,51.1257198149778,183.296846888087,155.542592507822,34.6120438349508,161.861035697791,15.5065128767668,41.192151266475,29.616210286223,9.24418605413548,140.121387150935,357.315288926867,364.942268686196,400.534156144077,495.25434766023,383.446882179315,129.575101134265,3.95111110475328
