area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
2;80754;900502;014;10;1;4;5;3;3;5;3;4;3;2;1;0;1;2;4; ; ;6; ; ;4;3;1;4;4;20; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2;0821;157,388166974523;080754900502;08075490050201410;080754900502014101;202207
1;80755;000302;030;01;1;3;1;3;2;1;2;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;4;1;3;2; ;1;0813;1229,78250738939;080755000302;08075500030203001;080755000302030011;202207
1;80755;000302;030;02;1;3;1;3;2;5;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;30;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;2; ;2; ;2;0813;1229,78250738939;080755000302;08075500030203002;080755000302030021;202207
1;80755;000302;030;03;1;3;5;3;3;5;3;4;3;1;1;0;1;1;4; ; ;1; ; ;2;1;1;2;5;40; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;2; ;2; ;2;0813;1229,78250738939;080755000302;08075500030203003;080755000302030031;202207
1;80755;000302;030;04;1;3;1;3;3;2;2;1;2;4;3;0;1;1;3; ; ;1; ; ;1;1;1;2;4;60; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;4;1;3;1;1;1;0813;1229,78250738939;080755000302;08075500030203004;080755000302030041;202207
1;80755;000302;030;05;1;3;5;3;3;7;3;6;3;2;1;0;1;1;4; ; ;1; ; ;2;3;1;2;4;60; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;3;1;1;2; ;2;0813;1229,78250738939;080755000302;08075500030203005;080755000302030051;202207
1;80755;000302;030;06;1;3;1;3;2;4;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;50; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;2; ;2; ;2;0813;1229,78250738939;080755000302;08075500030203006;080755000302030061;202207
1;80755;000302;030;07;1;3;1;1;1;2;2;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;1;1;2; ;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;1;4;1;4;1;1;1;0813;1229,78250738939;080755000302;08075500030203007;080755000302030071;202207
1;90150;005104;030;01;1;1;1;1;1;2;1;1;1;3;2;0;1;1;2; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;1;1;1;2613;1311,04431966991;090150005104;09015000510403001;090150005104030011;202207
1;90150;005104;030;02;1;1;1;3;1;2;1;1;1;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;1;1;2; ;2; ;1;3;1;3;2; ;1;2613;1311,04431966991;090150005104;09015000510403002;090150005104030021;202207
