EMISION,Total,Mediana,Media,Max,Count,Grupo
2023-05-28,0,0.0,0.0,0.0,0,HO
2023-05-29,2404,4.0,9.246153846153845,100.0,260,HO
2023-05-30,4024,5.0,12.938906752411576,200.0,311,HO
2023-05-31,2283,4.0,7.11214953271028,55.0,321,HO
2023-06-01,3310,3.0,7.4049217002237135,150.0,447,HO
2023-06-02,1696,5.0,6.838709677419355,50.0,248,HO
2023-06-03,1660,5.0,8.217821782178218,50.0,202,HO
2023-06-04,0,0.0,0.0,0.0,0,HO
2023-06-05,2055,3.0,7.696629213483146,60.0,267,HO
2023-06-06,2999,4.0,11.624031007751938,150.0,258,HO
2023-06-07,3060,5.0,9.592476489028213,50.0,319,HO
2023-06-08,3803,5.0,10.65266106442577,90.0,357,HO
2023-06-09,2260,6.0,8.932806324110672,80.0,253,HO
2023-06-10,3038,10.0,11.960629921259843,70.0,254,HO
2023-06-11,0,0.0,0.0,0.0,0,HO
2023-06-12,2565,3.0,8.40983606557377,155.0,305,HO
2023-06-13,2992,5.0,8.597701149425287,65.0,348,HO
2023-06-14,4793,6.0,12.989159891598916,300.0,369,HO
2023-06-15,3426,4.0,9.184986595174262,85.0,373,HO
2023-06-16,2540,5.0,8.552188552188552,100.0,297,HO
2023-06-17,2320,4.0,7.412140575079873,50.0,313,HO
2023-06-18,0,0.0,0.0,0.0,0,HO
2023-06-19,4410,5.0,12.857142857142858,210.0,343,HO
2023-06-20,2728,5.0,9.093333333333334,100.0,300,HO
2023-06-21,2728,4.0,9.342465753424657,80.0,292,HO
2023-06-22,4703,5.0,11.876262626262626,100.0,396,HO
2023-06-23,2940,5.0,9.074074074074074,100.0,324,HO
2023-06-24,2910,8.0,9.965753424657533,82.0,292,HO
2023-06-25,0,0.0,0.0,0.0,0,HO
2023-06-26,2684,3.0,8.283950617283951,60.0,324,HO
2023-06-27,4152,5.0,12.697247706422019,200.0,327,HO
2023-06-28,4981,7.5,16.38486842105263,266.0,304,HO
2023-06-29,4012,5.0,11.765395894428153,500.0,341,HO
2023-06-30,2688,5.0,7.836734693877551,90.0,343,HO
2023-07-01,2589,8.0,9.44890510948905,65.0,274,HO
2023-07-02,0,0.0,0.0,0.0,0,HO
2023-07-03,1863,5.0,7.635245901639344,90.0,244,HO
2023-07-04,6216,10.0,17.810888252149,380.0,349,HO
2023-07-05,4920,5.0,12.913385826771654,300.0,381,HO
2023-07-06,3184,4.0,12.58498023715415,355.0,253,HO
2023-07-07,4494,7.0,12.73087818696884,300.0,353,HO
2023-07-08,1608,6.0,7.96039603960396,30.0,202,HO
2023-07-09,0,0.0,0.0,0.0,0,HO
2023-07-10,4505,5.0,13.610271903323262,300.0,331,HO
2023-07-11,3961,6.0,10.235142118863049,200.0,387,HO
2023-07-12,3861,10.0,13.938628158844764,180.0,277,HO
2023-07-13,2829,5.0,8.546827794561933,65.0,331,HO
2023-07-14,3084,5.0,9.489230769230769,90.0,325,HO
2023-07-15,2029,10.0,9.661904761904761,50.0,210,HO
2023-07-16,0,0.0,0.0,0.0,0,HO
2023-07-17,2354,3.0,9.26771653543307,142.0,254,HO
2023-07-18,3589,4.0,11.8841059602649,100.0,302,HO
2023-07-19,2557,5.0,8.756849315068493,150.0,292,HO
2023-07-20,2733,4.0,9.233108108108109,80.0,296,HO
2023-07-21,2308,5.0,9.158730158730158,100.0,252,HO
2023-07-22,2275,5.0,9.323770491803279,110.0,244,HO
2023-07-23,0,0.0,0.0,0.0,0,HO
2023-07-24,1580,4.0,6.638655462184874,50.0,238,HO
2023-07-25,2784,4.0,10.16058394160584,130.0,274,HO
2023-07-26,4840,5.0,13.633802816901408,200.0,355,HO
2023-07-27,3991,6.0,13.667808219178083,115.0,292,HO
2023-07-28,2628,4.0,8.730897009966778,100.0,301,HO
2023-07-29,1749,6.0,9.662983425414364,50.0,181,HO
2023-07-30,0,0.0,0.0,0.0,0,HO
2023-07-31,2205,4.0,9.225941422594142,50.0,239,HO
2023-08-01,3038,4.0,12.007905138339922,150.0,253,HO
2023-08-02,3806,4.0,10.631284916201118,330.0,358,HO
2023-08-03,5382,10.0,18.950704225352112,910.0,284,HO
2023-08-04,2625,5.0,10.416666666666666,200.0,252,HO
2023-08-05,1836,5.0,10.551724137931034,230.0,174,HO
2023-08-06,0,0.0,0.0,0.0,0,HO
2023-08-07,2049,4.0,9.356164383561644,100.0,219,HO
2023-08-08,1626,3.0,6.504,100.0,250,HO
2023-08-09,2767,3.0,8.70125786163522,60.0,318,HO
2023-08-10,1508,4.0,6.528138528138528,75.0,231,HO
2023-08-11,0,0.0,0.0,0.0,0,HO
2023-08-12,1152,10.0,10.666666666666666,100.0,108,HO
2023-08-13,0,0.0,0.0,0.0,0,HO
2023-08-14,1319,4.0,6.52970297029703,40.0,202,HO
2023-08-15,1309,2.0,5.817777777777778,40.0,225,HO
2023-08-16,2392,5.0,9.568,80.0,250,HO
2023-08-17,1417,4.0,6.269911504424779,75.0,226,HO
2023-08-18,1482,4.0,5.928,50.0,250,HO
2023-08-19,1247,4.0,6.053398058252427,30.0,206,HO
2023-08-20,0,0.0,0.0,0.0,0,HO
2023-08-21,2874,4.0,12.830357142857142,200.0,224,HO
2023-08-22,2954,4.0,9.912751677852349,200.0,298,HO
2023-08-23,3749,4.0,13.936802973977695,210.0,269,HO
2023-08-24,3409,4.0,9.82420749279539,100.0,347,HO
2023-08-25,2115,8.0,11.131578947368421,190.0,190,HO
2023-08-26,2024,5.0,12.493827160493828,90.0,162,HO
2023-08-27,0,0.0,0.0,0.0,0,HO
2023-08-28,1991,4.0,7.807843137254902,60.0,255,HO
2023-08-29,2844,3.0,9.08626198083067,110.0,313,HO
2023-08-30,2653,4.0,9.24390243902439,120.0,287,HO
2023-08-31,3378,10.0,12.283636363636363,100.0,275,HO
2023-09-01,2384,4.0,8.026936026936028,100.0,297,HO
2023-09-02,1784,5.0,7.311475409836065,32.0,244,HO
2023-09-03,0,0.0,0.0,0.0,0,HO
2023-09-04,2342,2.0,8.610294117647058,300.0,272,HO
2023-09-05,2903,3.0,10.672794117647058,310.0,272,HO
2023-09-06,2494,5.0,9.936254980079681,100.0,251,HO
2023-09-07,3074,5.0,9.148809523809524,100.0,336,HO
2023-09-08,2339,5.0,9.208661417322835,80.0,254,HO
2023-09-09,1634,6.0,9.337142857142856,70.0,175,HO
2023-09-10,0,0.0,0.0,0.0,0,HO
2023-09-11,2892,6.0,12.62882096069869,200.0,229,HO
2023-09-12,2424,3.0,9.505882352941176,200.0,255,HO
2023-09-13,2130,5.0,8.987341772151899,130.0,237,HO
2023-09-14,1965,4.0,7.766798418972332,58.0,253,HO
2023-09-15,1716,3.0,6.625482625482626,40.0,259,HO
2023-09-16,1343,5.0,11.38135593220339,100.0,118,HO
2023-09-17,0,0.0,0.0,0.0,0,HO
2023-09-18,2382,4.0,8.387323943661972,100.0,284,HO
2023-09-19,2802,4.0,11.208,218.0,250,HO
2023-09-20,4000,6.0,13.377926421404682,100.0,299,HO
2023-09-21,4068,6.0,13.743243243243244,119.0,296,HO
2023-09-22,4594,6.0,13.239193083573488,400.0,347,HO
2023-09-23,2443,10.0,14.121387283236995,60.0,173,HO
2023-09-24,0,0.0,0.0,0.0,0,HO
2023-09-25,2415,5.0,10.233050847457626,100.0,236,HO
2023-09-26,3501,5.0,13.063432835820896,200.0,268,HO
2023-09-27,2864,4.5,9.875862068965517,120.0,290,HO
2023-09-28,2936,8.0,10.676363636363636,100.0,275,HO
2023-09-29,2194,6.0,8.217228464419476,40.0,267,HO
2023-09-30,1842,10.0,11.883870967741936,100.0,155,HO
2023-10-01,0,0.0,0.0,0.0,0,HO
2023-10-02,2354,4.0,10.234782608695653,200.0,230,HO
2023-10-03,2144,5.0,10.994871794871795,150.0,195,HO
2023-10-04,2204,5.0,9.883408071748878,60.0,223,HO
2023-10-05,2395,5.0,8.344947735191637,51.0,287,HO
2023-10-06,1727,4.0,7.709821428571429,100.0,224,HO
2023-10-07,1232,6.0,8.438356164383562,50.0,146,HO
2023-10-08,0,0.0,0.0,0.0,0,HO
2023-10-09,0,0.0,0.0,0.0,0,HO
2023-10-10,2554,5.0,10.822033898305085,110.0,236,HO
2023-10-11,2147,4.0,9.75909090909091,75.0,220,HO
2023-10-12,2234,5.0,9.798245614035087,100.0,228,HO
2023-10-13,1248,4.0,6.24,65.0,200,HO
2023-10-14,1240,5.0,8.051948051948052,43.0,154,HO
2023-10-15,0,0.0,0.0,0.0,0,HO
2023-10-16,1492,3.0,7.852631578947369,70.0,190,HO
2023-10-17,3574,10.0,14.768595041322314,95.0,242,HO
2023-10-18,3045,5.0,15.535714285714286,100.0,196,HO
2023-10-19,3634,4.0,13.071942446043165,150.0,278,HO
2023-10-20,2636,5.0,11.820627802690582,180.0,223,HO
2023-10-21,1254,4.0,6.56544502617801,50.0,191,HO
2023-10-22,0,0.0,0.0,0.0,0,HO
2023-10-23,1773,3.0,8.954545454545455,100.0,198,HO
2023-10-24,2439,4.5,10.986486486486486,100.0,222,HO
2023-10-25,3009,10.0,15.35204081632653,300.0,196,HO
2023-10-26,2476,10.0,11.254545454545454,100.0,220,HO
2023-10-27,2167,4.0,8.177358490566037,57.0,265,HO
2023-10-28,1093,5.0,6.429411764705883,41.0,170,HO
2023-10-29,0,0.0,0.0,0.0,0,HO
2023-10-30,1128,4.0,6.197802197802198,30.0,182,HO
2023-10-31,1021,2.0,5.235897435897436,30.0,195,HO
2023-11-01,1155,3.0,5.953608247422681,50.0,194,HO
2023-11-02,363,4.0,7.117647058823529,72.0,51,HO
2023-11-03,0,0.0,0.0,0.0,0,HO
2023-11-04,0,0.0,0.0,0.0,0,HO
2023-11-05,0,0.0,0.0,0.0,0,HO
2023-11-06,2706,6.0,13.009615384615385,75.0,208,HO
