FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-07-88,80.35,89.17,81.80,127.51,37.80,25.80,-0.42,-0.36,-1.39
01-08-88,47.75,58.67,98.13,146.25,119.40,25.48,0.00,-0.17,0.05
01-09-88,34.00,70.66,45.10,141.25,129.20,25.46,-1.20,-0.26,0.22
01-10-88,46.03,95.44,121.40,120.74,26.80,25.79,0.41,-0.41,-1.58
01-11-88,46.05,96.69,163.90,156.29,109.85,25.93,1.31,-0.06,-0.26
01-12-88,30.53,36.80,121.30,134.23,92.58,26.79,0.41,-0.23,-0.55
01-01-89,89.68,81.40,171.20,25.50,73.20,26.23,1.46,-1.57,-0.77
01-02-89,67.63,112.60,175.20,155.90,71.10,26.66,1.55,-0.04,-0.80
01-03-89,57.12,150.28,159.70,179.53,118.60,27.68,1.22,0.19,0.03
01-04-89,70.33,113.19,80.00,146.02,76.00,27.46,-0.46,-0.20,-0.72
01-05-89,114.82,147.68,81.60,164.40,109.10,27.76,-0.43,0.00,-0.13
01-06-89,124.04,162.47,125.10,190.77,161.20,27.41,0.49,0.28,0.78
01-07-89,85.14,150.52,95.00,184.38,145.90,26.83,-0.14,0.18,0.51
01-08-89,64.81,102.65,31.80,135.94,51.40,26.50,-1.48,-0.31,-1.15
01-09-89,51.33,88.13,93.80,133.07,55.70,26.50,-0.17,-0.32,-1.07
01-10-89,72.78,125.16,103.20,164.96,101.90,26.73,0.03,-0.01,-0.26
01-11-89,50.67,86.87,27.20,133.49,42.20,26.97,-1.57,-0.33,-1.31
01-12-89,27.39,45.69,22.70,117.99,17.50,27.20,-1.67,-0.45,-1.75
01-01-90,88.55,26.79,101.50,94.60,96.90,27.14,-0.01,-0.80,-0.35
01-02-90,72.81,53.50,62.70,146.60,62.40,27.27,-0.82,-0.22,-0.96
01-03-90,145.55,64.94,118.80,303.60,136.10,27.62,0.36,1.53,0.34
01-04-90,98.78,111.34,140.50,292.40,139.90,28.12,0.82,1.41,0.41
01-05-90,84.00,71.78,128.40,85.90,85.10,28.23,0.56,-0.90,-0.56
01-06-90,175.93,65.34,89.30,202.60,192.60,27.79,-0.26,0.40,1.34
01-07-90,109.50,30.51,81.80,122.00,87.30,27.14,-0.42,-0.50,-0.52
01-08-90,74.42,44.93,55.10,206.70,140.20,26.84,-0.99,0.45,0.41
01-09-90,60.56,38.09,101.08,170.30,79.10,26.97,0.00,0.04,-0.66
01-10-90,46.55,32.15,153.90,153.50,116.50,27.13,1.10,-0.14,0.00
01-11-90,77.09,53.94,91.20,112.70,93.00,27.37,-0.22,-0.60,-0.42
01-12-90,84.84,53.94,55.70,151.75,73.20,27.58,-0.97,0.00,-0.77
01-01-91,53.26,30.24,42.80,130.40,67.10,27.57,-1.24,-0.40,-0.87
01-02-91,97.56,45.02,63.10,134.90,102.80,27.78,-0.82,-0.35,-0.24
01-03-91,89.39,53.63,126.10,63.80,70.00,28.63,0.51,-1.15,-0.82
01-04-91,71.20,62.47,102.00,186.90,120.40,28.33,0.00,0.23,0.07
01-05-91,79.93,77.18,131.00,273.50,165.20,28.43,0.62,1.20,0.85
01-06-91,103.78,76.74,107.58,289.40,160.30,27.93,0.00,1.37,0.77
01-07-91,124.92,72.04,118.90,209.10,137.40,27.44,0.36,0.48,0.36
01-08-91,72.19,53.93,87.10,141.10,138.60,27.29,-0.31,-0.28,0.39
01-09-91,47.68,34.43,61.70,99.30,62.20,26.93,-0.85,-0.75,-0.96
01-10-91,46.28,36.01,100.40,91.90,69.20,26.65,-0.03,-0.83,-0.84
01-11-91,39.90,37.61,158.60,107.30,84.70,26.90,1.20,-0.66,-0.56
01-12-91,32.84,28.65,88.10,80.10,35.50,26.73,-0.29,-0.96,-1.43
01-01-92,48.70,24.29,40.20,17.70,23.20,26.70,-1.30,-1.66,-1.65
01-02-92,46.90,37.66,109.80,115.80,56.50,26.82,0.17,-0.57,-1.06
01-03-92,92.35,59.11,152.60,162.50,109.90,27.11,1.07,-0.04,-0.12
01-04-92,58.83,54.02,106.90,109.60,105.50,27.56,0.00,-0.63,-0.20
01-05-92,117.26,61.55,88.50,200.30,91.30,27.91,-0.28,0.38,-0.45
