Date,Energie cumule (kWh),Energie par periode (kWh),Puissance moyenne (kW)
2022-12-15 20:50:00,308722,6,9
2022-12-15 21:30:00,308727,5,7.5
2022-12-15 22:10:00,308734,7,10.5
2022-12-15 22:50:00,308741,7,10.5
2022-12-15 23:30:00,308745,4,6
2022-12-16 00:10:00,308750,5,7.5
2022-12-16 00:50:00,308759,9,13.5
2022-12-16 01:30:00,308765,6,9
2022-12-16 02:10:00,308775,10,15
2022-12-16 02:50:00,308782,7,10.5
2022-12-16 03:30:00,308785,3,4.5
2022-12-16 04:10:00,308790,5,7.5
2022-12-16 04:50:00,308796,6,9
2022-12-16 05:30:00,308799,3,4.5
2022-12-16 06:10:00,308806,7,10.5
2022-12-16 06:50:00,308813,7,10.5
2022-12-16 07:30:00,308817,4,6
2022-12-16 08:10:00,308825,8,12
2022-12-16 08:50:00,308837,12,18
2022-12-16 09:30:00,308847,10,15
2022-12-16 10:10:00,308863,16,24
2022-12-16 10:50:00,308880,17,25.5
2022-12-16 11:30:00,308892,12,18
2022-12-16 12:10:00,308905,13,19.5
2022-12-16 12:50:00,308916,11,16.5
2022-12-16 13:30:00,308922,6,9
2022-12-16 14:10:00,308932,10,15
2022-12-16 14:50:00,308941,9,13.5
2022-12-16 15:30:00,308948,7,10.5
2022-12-16 16:10:00,308957,9,13.5
2022-12-16 16:50:00,308966,9,13.5
2022-12-16 17:30:00,308972,6,9
2022-12-16 18:10:00,308978,6,9
2022-12-16 18:50:00,308982,4,6
2022-12-16 19:30:00,308984,2,3
2022-12-16 20:10:00,308987,3,4.5
2022-12-16 20:50:00,308989,2,3
2022-12-16 21:30:00,308991,2,3
2022-12-16 22:10:00,308993,2,3
2022-12-16 22:50:00,308996,3,4.5
2022-12-16 23:30:00,308997,1,1.5
2022-12-17 00:10:00,308999,2,3
2022-12-17 00:50:00,309003,4,6
2022-12-17 01:30:00,309005,2,3
2022-12-17 02:10:00,309009,4,6
2022-12-17 02:50:00,309012,3,4.5
2022-12-17 03:30:00,309015,3,4.5
2022-12-17 04:10:00,309017,2,3
2022-12-17 04:50:00,309019,2,3
2022-12-17 05:30:00,309020,1,1.5
2022-12-17 06:10:00,309022,2,3
2022-12-17 06:50:00,309023,1,1.5
2022-12-17 07:30:00,309024,1,1.5
2022-12-17 08:10:00,309025,1,1.5
2022-12-17 08:50:00,309027,2,3
2022-12-17 09:30:00,309028,1,1.5
2022-12-17 10:10:00,309030,2,3
2022-12-17 10:50:00,309031,1,1.5
2022-12-17 11:30:00,309032,1,1.5
2022-12-17 12:10:00,309033,1,1.5
2022-12-17 12:50:00,309035,2,3
2022-12-17 13:30:00,309036,1,1.5
2022-12-17 14:10:00,309037,1,1.5
2022-12-17 14:50:00,309039,2,3
2022-12-17 15:30:00,309040,1,1.5
2022-12-17 16:10:00,309041,1,1.5
2022-12-17 16:50:00,309042,1,1.5
2022-12-17 17:30:00,309043,1,1.5
2022-12-17 18:10:00,309045,2,3
2022-12-17 18:50:00,309046,1,1.5
2022-12-17 19:30:00,309047,1,1.5
2022-12-17 20:10:00,309049,2,3
2022-12-17 20:50:00,309050,1,1.5
2022-12-17 21:30:00,309051,1,1.5
2022-12-17 22:10:00,309054,3,4.5
2022-12-17 22:50:00,309056,2,3
2022-12-17 23:30:00,309057,1,1.5
2022-12-18 00:10:00,309059,2,3
2022-12-18 00:50:00,309062,3,4.5
2022-12-18 01:30:00,309064,2,3
2022-12-18 02:10:00,309065,1,1.5
2022-12-18 02:50:00,309067,2,3
2022-12-18 03:30:00,309069,2,3
2022-12-18 04:10:00,309071,2,3
2022-12-18 04:50:00,309072,1,1.5
2022-12-18 05:30:00,309073,1,1.5
2022-12-18 06:10:00,309074,1,1.5
2022-12-18 06:50:00,309076,2,3
2022-12-18 07:30:00,309077,1,1.5
2022-12-18 08:10:00,309078,1,1.5
2022-12-18 08:50:00,309080,2,3
2022-12-18 09:30:00,309081,1,1.5
2022-12-18 10:10:00,309082,1,1.5
2022-12-18 10:50:00,309083,1,1.5
2022-12-18 11:30:00,309084,1,1.5
2022-12-18 12:10:00,309086,2,3
2022-12-18 12:50:00,309087,1,1.5
2022-12-18 13:30:00,309088,1,1.5
2022-12-18 14:10:00,309089,1,1.5
2022-12-18 14:50:00,309090,1,1.5
2022-12-18 15:30:00,309091,1,1.5
2022-12-18 16:10:00,309093,2,3
2022-12-18 16:50:00,309094,1,1.5
2022-12-18 17:30:00,309095,1,1.5
2022-12-18 18:10:00,309096,1,1.5
2022-12-18 18:50:00,309098,2,3
2022-12-18 19:30:00,309099,1,1.5
2022-12-18 20:10:00,309100,1,1.5
2022-12-18 20:50:00,309102,2,3
2022-12-18 21:30:00,309103,1,1.5
2022-12-18 22:10:00,309105,2,3
2022-12-18 22:50:00,309106,1,1.5
2022-12-18 23:30:00,309107,1,1.5
2022-12-19 00:10:00,309109,2,3
2022-12-19 00:50:00,309115,6,9
2022-12-19 01:30:00,309118,3,4.5
2022-12-19 02:10:00,309121,3,4.5
2022-12-19 02:50:00,309126,5,7.5
2022-12-19 03:30:00,309128,2,3
2022-12-19 04:10:00,309129,1,1.5
2022-12-19 04:50:00,309130,1,1.5
2022-12-19 05:30:00,309131,1,1.5
2022-12-19 06:10:00,309133,2,3
2022-12-19 06:50:00,309135,2,3
2022-12-19 07:30:00,309136,1,1.5
2022-12-19 08:10:00,309137,1,1.5
2022-12-19 08:50:00,309139,2,3
2022-12-19 09:30:00,309140,1,1.5
2022-12-19 10:10:00,309141,1,1.5
2022-12-19 10:50:00,309143,2,3
2022-12-19 11:30:00,309144,1,1.5
2022-12-19 12:10:00,309145,1,1.5
2022-12-19 12:50:00,309147,2,3
2022-12-19 13:30:00,309148,1,1.5
2022-12-19 14:10:00,309149,1,1.5
2022-12-19 14:50:00,309150,1,1.5
2022-12-19 15:30:00,309151,1,1.5
2022-12-19 16:10:00,309153,2,3
2022-12-19 16:50:00,309154,1,1.5
2022-12-19 17:30:00,309155,1,1.5
2022-12-19 18:10:00,309156,1,1.5
2022-12-19 18:50:00,309158,2,3
2022-12-19 19:30:00,309159,1,1.5
2022-12-19 20:10:00,309160,1,1.5
2022-12-19 20:50:00,309162,2,3
2022-12-19 21:30:00,309163,1,1.5
2022-12-19 22:10:00,309165,2,3
2022-12-19 22:50:00,309167,2,3
2022-12-19 23:30:00,309168,1,1.5
2022-12-20 00:10:00,309170,2,3
2022-12-20 00:50:00,309176,6,9
2022-12-20 01:30:00,309179,3,4.5
2022-12-20 02:10:00,309181,2,3
2022-12-20 02:50:00,309183,2,3
2022-12-20 03:30:00,309184,1,1.5
2022-12-20 04:10:00,309186,2,3
2022-12-20 04:50:00,309187,1,1.5
2022-12-20 05:30:00,309188,1,1.5
2022-12-20 06:10:00,309190,2,3
2022-12-20 06:50:00,309192,2,3
2022-12-20 07:30:00,309193,1,1.5
2022-12-20 08:10:00,309194,1,1.5
2022-12-20 11:00:00,309196,2,0.705882353
2022-12-20 11:40:00,309199,3,4.5
2022-12-20 12:20:00,309202,3,4.5
2022-12-20 13:00:00,309204,2,3
2022-12-20 13:40:00,309206,2,3
2022-12-20 14:20:00,309208,2,3
2022-12-20 15:00:00,309209,1,1.5
2022-12-20 15:40:00,309211,2,3
2022-12-20 16:20:00,309213,2,3
2022-12-20 17:00:00,309215,2,3
2022-12-20 17:40:00,309217,2,3
2022-12-20 18:20:00,309218,1,1.5
2022-12-20 19:00:00,309220,2,3
2022-12-20 19:40:00,309221,1,1.5
2022-12-20 20:20:00,309223,2,3
2022-12-20 21:00:00,309224,1,1.5
2022-12-20 21:40:00,309226,2,3
2022-12-20 22:20:00,309228,2,3
2022-12-20 23:00:00,309229,1,1.5
2022-12-20 23:40:00,309231,2,3
2022-12-21 00:20:00,309234,3,4.5
2022-12-21 01:00:00,309238,4,6
2022-12-21 01:40:00,309242,4,6
2022-12-21 02:20:00,309244,2,3
2022-12-21 03:00:00,309245,1,1.5
2022-12-21 03:40:00,309247,2,3
2022-12-21 04:20:00,309249,2,3
2022-12-21 05:00:00,309250,1,1.5
2022-12-21 05:40:00,309252,2,3
2022-12-21 06:20:00,309253,1,1.5
2022-12-21 07:00:00,309254,1,1.5
