overlap,method
0.043529862631145166,greedy
0.04536135624799015,greedy
0.04777757122852477,greedy
0.05600415899244392,greedy
0.04174621059811921,window
0.04199482735952694,window
0.04026505144919401,window
0.04195756343694422,window
0.04209132678359475,window
0.04133825376903652,window
0.040893292964786866,window
0.042069912283003566,window
0.0428455250335182,window
0.040986121708562404,window
0.04139353051655906,window
0.04114877601138834,window
0.04111390546484901,window
0.040960854389855174,window
0.04116327606788653,window
0.04113289173529272,window
0.041938394826647574,window
0.04179304238127087,window
0.04167859414497575,window
0.04201384142546681,window
0.0418825550432437,window
0.04207774263953568,window
0.041255958235623884,window
0.04125504573732437,window
0.04100326931980881,window
0.04078643093156238,window
0.041562738962703,window
0.04162440180412478,window
0.04107132553592746,window
0.04347367860991277,window
0.041382983688957514,window
0.043285022807160775,window
0.04227023738744243,window
0.04185223827757518,window
0.04078967314139338,window
0.04114553358318085,window
0.04158830085186145,window
0.041935154020829604,window
0.041648049086542877,window
0.04416506161354841,window
0.042236526918371126,window
0.04200789777420939,window
0.04174776258644448,window
0.04274489316662636,window
0.04156738652438736,window
0.04225228561500556,window
0.040979063154006304,window
0.04123178033812288,window
0.04067055415863663,window
0.04063521835490884,window
0.04344003350225002,window
0.04263890048703878,window
0.04163386649019453,window
0.04258075741485278,window
0.04233891701906763,window
0.04137688806556296,window
0.0422717816704538,window
0.0426150339786653,window
0.04198840177295776,window
0.04189417303166453,window
0.04117658064918193,window
0.04200082502177618,window
0.04129146451588015,window
0.04166875030992106,window
0.04159643711652672,window
0.04192265241350948,window
0.04181087442243607,window
0.04094851972173996,window
0.04262057163475501,window
0.042824138756562075,window
0.04294547187660419,window
0.04214460545365581,window
0.041336511532744674,window
0.042043108626999545,window
0.040925194366102514,window
0.0407489066285879,window
0.042296405477166385,window
0.04140997973660713,window
0.04185232661056829,window
0.04136004606169089,window
0.041263768851713664,window_100
0.04118572489280654,window_100
0.04137740997188761,window_100
0.04171160484103654,window_100
0.04203903784366033,window_100
0.04078662632858396,window_100
0.04058127194739472,window_100
0.041415009369319314,window_100
0.04156189349559168,window_100
0.04142840638475679,window_100
0.041427598312223896,window_100
0.041635856444542374,window_100
0.04290891068454135,window_100
0.041246260539499265,window_100
0.04075620630398554,window_100
0.04127444537214807,window_100
0.040563240891530725,window_100
0.04117584074607447,window_100
0.04110453647241376,window_100
0.043194300870309996,window_100
0.04106545433484317,window_100
0.040913957418876074,window_100
0.0417349545426381,window_100
0.041483491412774784,window_100
0.041017480643601126,window_100
0.042362575491128616,window_100
0.0400570762382365,window_100
0.04133772817513651,window_100
0.04135330755892663,window_100
0.041173798233597486,window_100
0.042116719675117126,window_100
0.04128573870349004,window_100
0.04096254907443958,window_100
0.041495668418408495,window_100
0.04193205908253078,window_100
0.04208968570496062,window_100
0.04144232944863838,window_100
0.04126724501973457,window_100
0.0415606841778106,window_100
0.042277427777572325,window_100
0.041277368783719945,window_100
0.04242559567780853,window_100
0.041914385918176214,window_100
0.04140155259007163,window_100
0.04017296312189791,window_100
0.04173910617116996,window_100
0.0428134973356188,window_100
0.04255520996547486,window_100
0.04154800356083553,window_100
0.04098366097144997,window_100
0.04031204703280204,window_100
0.0423884738008747,window_100
0.041325061434806035,window_100
0.04082883581369064,window_100
0.04067142488567274,window_100
0.04205954299963606,window_100
0.040930786164487726,window_100
0.04122230390779454,window_100
0.04135592209418603,window_100
0.04253242771278236,window_100
0.04237108840674368,window_100
0.0420365659160874,window_100
0.041041263305224805,window_100
0.041758552312248814,window_100
0.041270959660074734,window_100
0.0414530907219006,window_100
0.04257752297266253,window_100
0.04224393053787562,window_100
0.041780886002235285,window_100
0.041478654476416264,window_100
0.041195947348810005,window_100
0.039871402954111915,window_100
0.0422243682726146,window_100
0.04172254789112699,window_100
0.040877020738904715,window_100
0.04087527879672215,window_100
0.04136782802466227,window_100
0.04176324692029579,window_100
0.04178581718969124,window_100
0.04083824909512637,window_100
0.04209891835549463,window_75
0.042827458884999045,window_75
0.0416758098461065,window_75
0.04221539913681367,window_75
0.04213419013603556,window_75
0.04319710887046692,window_75
0.040928684104071134,window_75
0.04230494318396126,window_75
0.04116311369995588,window_75
0.04166832038926706,window_75
0.04177503660111075,window_75
0.04319497176159806,window_75
0.04147013513394025,window_75
0.042308218253262767,window_75
0.04147454406408613,window_75
0.040733004034079014,window_75
0.04231024008236657,window_75
0.04251439565809857,window_75
0.04246668281735535,window_75
0.041686996926095635,window_75
0.041737065177859065,window_75
0.04205668646749056,window_75
0.041785922438859494,window_75
0.043579084611447924,window_75
0.04161351413887974,window_75
0.04169015839976345,window_75
0.041296572939116365,window_75
0.042988806977172146,window_75
0.04332691614513213,window_75
0.04213006225451024,window_75
0.04139009687448447,window_75
0.043606624034628234,window_75
0.042095093448025096,window_75
0.04322095599192171,window_75
0.042601322572614356,window_75
0.043527602626842896,window_75
0.041336918949943895,window_75
0.041206556262972795,window_75
0.04237411143167218,window_75
0.04213930415511155,window_75
0.04130609594935597,window_75
0.043003414629023066,window_75
0.040914643826342925,window_75
0.040802320941314564,window_75
0.04182409574041524,window_75
0.04055525430488448,window_75
0.04132520701646779,window_75
0.04239522375303404,window_75
0.042406202997311584,window_75
0.042175414507883466,window_75
0.04154563273005654,window_75
0.0416126516709107,window_75
0.04230949677564724,window_75
0.04083959818758335,window_75
0.04189589809374859,window_75
0.04122678856023365,window_75
0.04301967427078357,window_75
0.041091698272803075,window_75
0.042169822935492575,window_75
0.04292380743519957,window_75
0.04217616518008169,window_75
0.04160142695200475,window_75
0.043634981576093086,window_75
0.042210480723547376,window_75
0.04169790818659808,window_75
0.04236125631424225,window_75
0.04306397971351416,window_75
0.041293785214219815,window_75
0.04228448340998464,window_75
0.041810429417090844,window_75
0.04297337056473581,window_75
0.04186116054660656,window_75
0.042096137956080665,window_75
0.04264192061055812,window_75
0.04156956632837372,window_75
0.04308917976137775,window_75
0.04127013310098813,window_75
0.04085316571375433,window_75
0.042584078655234614,window_75
0.04204071278632968,window_75
0.04199049099591639,window_50
0.04242706873913023,window_50
