 año,id_diee,ciiu_seccion,ciiu_division,ciiu_clase,sector_economico,tam_empresa,provincia,tic1_inversion,tic2_valor_inversion,tic31_computadoras,tic32_pda,tic33_smartphone,tic34_notebooks,tic35_tablets,tic36_otros,tic4_personal_total_comp,tic41_personal_comp_m,tic42_personal_comp_h,tic5_conexion_internet,tic6_personal_total_int,tic61_personal_int_m,tic62_personal_int_h,tic7a_bandaanchafija,tic7b_bandaanchamovil,tic7c_otros_1412,tic8_web,tic9_transacciones,tic91_total_compras,tic92_total_ventas,tic10_interaccion_adm_pub,tic101_obtener_info_publicas,tic102_impreso_publicos,tic103_devolver_impresos,tic104_gestion_electronica,tic105_declaracion_impuestos,tic106_tramites_iess,tic107_portal_compras_publicas,tic111_gestion_cliente,tic112_control_pedidos,tic113_gestion_inventarios,tic114_gestion_finanzas,tic115_gestion_rrhh,tic116_soporte_ventas,tic117_id,tic118_gestion_conocimiento,tic121_telefonos_celulares,tic122_correo_electronico,tic123_redes_sociales,tic124_mensajeria_especializada,tic125_fax,tic126_call_center,tic127_otros_1434,tic128_ninguno,tic131_sistemas_operativos,tic132_navegador_internet,tic133_aplicaciones_ofimaticas,tic134_erp_crm,tic135_seguridad,tic14_especialistas_tic,tic141_especialistas_tic_m,tic142_especialistas_tic_h,tic151_personal_conoc_tic,tic151_personal_conoc_tic_m,tic152_personal_conoc_tic_h,tic16_intranet,tic17_firma_digital,k
2015,13628103067,G,G47,G4730,3,2,106,1,495,4,0,0,0,0,0,10,1,9,1,10,1,9,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2, , ,0,0,0,2,2,1
2015,13628418068,C,C17,C1709,1,2,117,2,0,2,0,0,1,0,0,3,1,2,1,3,1,2,1,2,2,2,2, , ,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,2, , ,2,1,1,2,2,1
2015,13629073064,I,I56,I5610,4,1,106,1,2000,5,0,0,0,0,0,6,5,1,1,1,0,1,2,2,1,2,2, , ,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13629811065,G,G46,G4641,3,2,209,2,0,34,0,0,0,0,0,22,19,3,1,7,4,3,1,2,2,2,1,28,0,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2, , ,0,0,0,2,2,1
2015,13631807067,C,C18,C1811,1,2,316,2,0,4,0,0,0,0,0,6,2,4,1,6,2,4,1,2,2,2,2, , ,2, , , , , , , ,3,3,3,3,3,3,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2, , ,6,2,4,1,2,1
2015,13631867060,G,G46,G4663,3,2,106,1,8852,10,0,0,0,0,0,6,6,0,1,6,6,0,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,0,2,2,0,2,2,1
2015,13631888067,Q,Q86,Q8610,4,2,106,1,5000,13,5,2,1,0,0,7,4,3,1,7,4,3,1,2,2,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2, , ,0,0,0,1,1,1
2015,13631934069,C,C25,C2511,1,1,314,2,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,2,2,2,2, , ,1,1,1,2,2,1,1,2,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13632263061,C,C23,C2395,1,2,106,2,0,2,0,0,0,0,0,2,2,0,1,1,1,0,1,2,2,2,2, , ,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
2015,13632468061,I,I55,I5510,4,1,106,2,0,2,0,0,0,0,0,2,1,1,1,2,1,1,1,2,2,2,2, , ,2, , , , , , , ,3,3,3,3,3,3,3,3,1,1,2,1,1,2,2,2,2,1,1,2,2,2, , ,2,1,1,2,2,1
